,6615,6703,6688,6613
7039,143.950303,2.074208,121.01846,126.190457
6554,111.164745,206.734223,243.286811,122.37768
6364,43.549982,170.226752,216.556714,50.816801
6559,77.391404,218.462741,267.068748,109.173396
6843,82.395913,219.598603,267.797624,99.529367
6081,86.587568,231.433113,266.767388,106.119436
6505,151.055336,297.105148,339.64147,172.411006
6106,112.403573,252.282657,300.502819,132.387433
6564,76.1061,220.403922,268.590237,98.910827
6897,109.117345,250.120051,297.173176,128.5551
6092,1.009397,151.469279,199.347811,31.420941
6614,11.57913,151.536115,197.506993,30.789922
6473,68.014728,109.301704,145.531064,47.473097
6323,105.931748,244.736475,292.10919,124.445526
6898,80.030039,113.470802,161.866085,63.026024
6280,15.036731,130.763806,178.838663,10.826507
6899,12.199374,157.367636,202.644946,43.013191
6625,41.122356,178.098456,212.19406,44.863421
6725,6.465553,145.946809,193.466791,26.251983
6960,76.265408,220.247463,266.503357,100.191098
6414,121.353268,265.296929,311.030493,141.325893
6592,141.30539,280.34539,328.055849,161.061382
6975,204.569068,129.565783,13.270363,186.60598
6815,117.02051,259.097243,306.024536,138.270563
6476,94.726215,234.359641,282.257098,114.552095
7022,88.215081,230.949005,277.898859,110.579166
6411,62.436248,104.796418,144.979849,39.556391
6245,106.565565,243.089267,279.344792,133.278689
6794,60.4968,94.2743,141.7475,43.5183
6299,181.685925,326.61818,373.351196,205.818289
6599,64.513094,106.45128,213.43789,47.292357
6031,80.29295,218.685399,266.293881,98.722126
6733,112.598754,255.368829,303.093252,134.985059
6966,20.429168,141.915835,189.55012,21.924534
6332,87.764415,228.191794,275.537414,107.423803
6535,85.845962,225.304281,272.363465,104.625511
6590,22.843186,152.782132,199.110095,34.472035
6721,81.870967,219.446146,266.845093,99.457208
6853,149.3842,291.365554,340.426511,170.581939
6922,88.105493,228.097303,275.977823,108.121107
6877,83.227312,218.646183,258.424911,109.070903
6339,216.333619,77.826837,202.672046,199.128958
6741,121.531332,261.975897,308.480343,140.959707
6689,91.471926,231.436398,278.778121,110.948618
6681,220.816059,81.571788,104.681467,201.55778
6702,84.051321,222.248646,269.035613,101.682544
6372,93.559557,232.894275,280.638171,112.85558
7050,188.58058,333.369916,379.157601,211.128797
6315,203.879463,166.658952,24.382172,185.329248
6855,88.653768,228.297259,275.800544,108.060326
6793,133.082056,273.671726,321.420767,157.024761
6516,77.397633,214.860554,262.776548,95.011165
6914,202.543742,132.292922,13.12525,182.551978
6878,107.24839,249.166838,296.650123,127.483433
6120,103.384256,245.316539,292.641888,124.53833
6550,89.755598,230.552526,278.060581,109.92504
6801,109.65792,204.540599,241.996373,120.7374
6425,144.223401,2.647437,121.139887,126.390737
6420,53.940507,137.068782,175.292095,37.65459
6312,207.69753,69.395978,92.740941,189.417016
6985,157.372191,244.586102,287.184582,157.880062
6524,0.967397,144.554042,192.350658,24.686692
6260,98.211452,244.794942,291.293964,122.017131
6307,79.935396,225.95337,267.522063,100.77345
6906,189.95102,155.063552,177.591075,212.593696
6881,162.784455,309.359322,354.85368,184.739563
6552,79.689785,217.113755,265.482818,97.271502
6333,76.43469,220.773707,268.827058,99.273186
6696,78.32098,229.555482,276.478315,105.019059
6980,90.594018,235.616823,283.276754,114.47397
6095,63.156165,105.854949,145.987799,40.747086
6492,65.329408,176.404478,136.027725,58.702647
